row_id,row_id_matched.x,participant,file,trial_index.x,trial_index.y,trial_index_matched,prop_correct.x,effort.x,reliability_index.x,reliability_index_n,reliability_index_play.x,reliability_effort_difference,row_id_matched.y,prop_correct.y,effort.y,reliability_index.y,reliability_index_play.y,duplicate
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_9_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_9_ch2_calibrated_noise5snr.wav_135,54af2a48fdf99b09c01b3801,sim_pd14_loud_kn_h6_9_ch2_calibrated_noise5snr,133,135,135,0.4,65,6-1,6,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_kn_h6_9_ch2_calibrated_noise5snr.wav_375,0.6,80,6-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_10_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_10_ch2_calibrated_noise5snr.wav_141,54af2a48fdf99b09c01b3801,sim_pd14_loud_nm_h2_10_ch2_calibrated_noise5snr,139,141,141,0.6,60,1-1,1,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_10_ch2_calibrated_noise5snr.wav_309,0.6,91,1-2,2,FALSE
54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_2_ch2_calibrated_noise5snr.wav,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_2_ch2_calibrated_noise5snr.wav_165,54af2a48fdf99b09c01b3801,sim_pd14_loud_nm_h2_2_ch2_calibrated_noise5snr,163,165,165,1,14,5-1,5,1,NA,54af2a48fdf99b09c01b3801 ./audio/mask-recordings/playlist_17_pd14/sim_pd14_loud_nm_h2_2_ch2_calibrated_noise5snr.wav_255,1,13,5-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_3_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_3_ch2_calibrated_noise5snr.wav_125,555906c9fdf99b06175ee24c,sim_pd08_clear_kn_h7_3_ch2_calibrated_noise5snr,123,125,125,0.8,36,7-1,7,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_3_ch2_calibrated_noise5snr.wav_293,0.8,64,7-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_4_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_4_ch2_calibrated_noise5snr.wav_167,555906c9fdf99b06175ee24c,sim_pd08_clear_kn_h7_4_ch2_calibrated_noise5snr,165,167,167,0.8,62,1-1,1,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_4_ch2_calibrated_noise5snr.wav_383,0.8,41,1-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_6_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_6_ch2_calibrated_noise5snr.wav_65,555906c9fdf99b06175ee24c,sim_pd08_clear_kn_h7_6_ch2_calibrated_noise5snr,63,65,65,0,80,11-1,11,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_kn_h7_6_ch2_calibrated_noise5snr.wav_275,0.6,83,11-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_3_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_3_ch2_calibrated_noise5snr.wav_173,555906c9fdf99b06175ee24c,sim_pd08_clear_nm_h16_3_ch2_calibrated_noise5snr,171,173,173,1,67,9-1,9,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_3_ch2_calibrated_noise5snr.wav_395,1,38,9-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_7_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_7_ch2_calibrated_noise5snr.wav_41,555906c9fdf99b06175ee24c,sim_pd08_clear_nm_h16_7_ch2_calibrated_noise5snr,39,41,41,0.6,74,3-1,3,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_clear_nm_h16_7_ch2_calibrated_noise5snr.wav_161,0.8,71,3-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav_245,555906c9fdf99b06175ee24c,sim_pd08_habitual_kn_h2_6_ch2_calibrated_noise5snr,243,245,245,1,23,4-1,4,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav_419,0.8,33,4-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_1_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_1_ch2_calibrated_noise5snr.wav_101,555906c9fdf99b06175ee24c,sim_pd08_habitual_nm_h14_1_ch2_calibrated_noise5snr,99,101,101,1,34,6-1,6,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_1_ch2_calibrated_noise5snr.wav_353,1,34,6-2,2,FALSE
